"Sport","Game_Type","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NBA","Classic","Beginner NBA $1 Double Up","2018-12-01 19:00:00",6,265.25,"$2.00","$0.00",39,"$1.00","$34.00",17
"NBA","Classic","Beginner NBA $1 Double Up","2018-11-30 19:00:00",35,206.5,"$0.00","$0.00",39,"$1.00","$34.00",17
"NBA","Classic","Beginner NBA $1 Double Up","2018-11-29 20:00:00",1,303,"$2.00","$0.00",39,"$1.00","$34.00",17
"NBA","Classic","Beginner NBA $1 Double Up","2018-11-28 19:00:00",31,225,"$0.00","$0.00",39,"$1.00","$34.00",17
"NBA","Classic","Beginner NBA $1 Double Up","2018-11-27 19:00:00",14,232,"$2.00","$0.00",39,"$1.00","$34.00",17
"NBA","Classic","NBA FREE Contest [100th Millionaire Ticket]","2018-11-27 19:00:00",8370,232,"$0.00","$0.00",17782,"$0.00","$100.00",1
"NBA","Classic","Beginner NBA $1 Double Up","2018-11-26 19:00:00",21,277.5,"$0.00","$0.00",39,"$1.00","$34.00",17
"NBA","Classic","NBA FREE 200-Player","2018-11-26 19:00:00",101,277.5,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic","NBA FREE 200-Player (Early)","2018-11-25 15:30:00",52,263.25,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic","NBA FREE 200-Player","2018-11-24 19:30:00",168,252,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic","NBA FREE 200-Player","2018-11-19 19:00:00",50,270.75,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic","NBA FREE 200-Player","2018-11-17 19:00:00",124,239.75,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic","NBA FREE 200-Player","2018-11-16 19:00:00",168,225.5,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic","Beginner NBA $1 Double Up","2018-11-12 19:00:00",37,214.5,"$0.00","$0.00",39,"$1.00","$34.00",17
"NBA","Classic","NBA FREE 200-Player","2018-11-12 19:00:00",183,214.5,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic","NBA FREE 200-Player","2018-11-12 19:00:00",100,257.75,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic","Beginner NBA $1 3-Player","2018-11-11 19:00:00",2,233,"$0.00","$0.00",3,"$1.00","$2.70",1
"NBA","Classic","Beginner NBA $1 Double Up","2018-11-10 19:00:00",30,236.75,"$0.00","$0.00",39,"$1.00","$34.00",17
"NBA","Classic","Beginner NBA $1 Double Up","2018-11-09 19:00:00",8,265.75,"$2.00","$0.00",39,"$1.00","$34.00",17
"NBA","Classic","NBA FREE 200-Player","2018-11-09 19:00:00",112,245.5,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic","D.K. NBA WORLD CLASSIC MULTIPLAYER CHAMPIONSHIP","2018-11-09 19:00:00",52,265.75,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic","Beginner NBA $1 3-Player","2018-11-08 20:00:00",3,219.75,"$0.00","$0.00",3,"$1.00","$2.70",1
"NBA","Non Late Swap","Casual NBA $1 Double Up","2017-11-09 19:00:00",17,238.5,"$0.00","$0.00",23,"$1.00","$20.00",10
"NBA","Non Late Swap","NBA $35K And-One","2017-11-07 19:00:00",23091,248.75,"$0.00","$0.00",41617,"$1.00","$35,000.00",10456
